index,Name,Type (Food Specialty),Location (Province),Locaton (Add-ons),Ratings (Stars),Operation time,Contacts (Tel.),Details (Comment/Desc)
11,PenLaos (เป็นลาว),อาหารอีสาน,นครราชสีมา,56 หมู่ 17 ถ. ธนะรัชต์ ตำบล หมูสี อำเภอปากช่อง นครราชสีมา 30450,4.00,09:30 - 18:00,0834613666,"ใครมาเที่ยวเขาใหญ่ อยากทานร้านอาหารอีสานที่เมนูของทอดอร่อยๆ ไม่ควรพลาดร้านนี้ ร้านอยู่ใกล้ปากทางขึ้นเขาใหญ่ ร้านบรรยากาศโปร่งโล่งสบาย ที่จอดรถสะดวก ที่นั่งเยอะ ร้านมีเมนูหลากหลาย เมนูอาหารอีสานมีให้เลือกมากมาย วันนี้สั่งไป 4 เมนู

หมูสามชั้นทอดแจ่วบอง อร่อยมาก ควรสั่งอย่างยิ่ง ทอดกรอบกำลังดี กินกับข้าวเหนียว หรือข้าวสวยก็ลงตัว แจ่วบองรสชาติดี จะกินหมูสามชั่นเปล่าๆหรือจิ้มแจ่วลองก็อร่อย

เอ็นไก่ทอด ทอดกรอบดีมาก ให้ปริมาณพอสมควร เนื้อไก่นุ่มรสชาติลงตัว

ต้มเปรอะ อร่อย ไม่เผ็ดมาก ให้ปริมาณเยอะ กินกับข้าวเหนียว
ฟินอร่อยมากๆ

ตำกุ้งสดปูปลาร้า ส่วนตัวยังตำได้ไม่แซ่บเท่าที่ควร ทั้งที่ร้านอาหารอีสาน ส้มตำน่าจะเด็ดสุด เป็นเมนูที่รสชาติยังไม่ว้าวเท่าที่ควร

โดยรวมเป็นร้านที่แวะได้ ราคาพอประมาณ เหมาะกับพาแฟนหรือครอบครัวมาทาน"
12,ร้านส้มตำปูม้าเจ๊มาลี-เจ้าเก่า,อาหารอีสาน,ชลบุรี,เดอะกรีน เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150,4.10,09:00 - 18:00,0956144635,ร้านอยู่ในซอย ตามGoogle map มาเรื่อยๆ มีที่จอดรถ บริการเป็นมิตร ยิ้มแย้มแจ่มใสดี อาหารราคาไม่แพง ชอบตรงรสชาติจัดจ้าน เมนูแนะนำ ได้แก่ ยำปูม้า ส้มตำปูม้า ส้มตำปูปลาร้า รสชาติไทยๆจัดจ้าน แต่ติตรงปูม้าตัวเล็กไปนิด (แต่ก็เหมาะสมกับราคาขาย) ถ้าตัวใหญ่กว่านี้ คงจะฟินมาก
13,ซาว Zao,"อาหารอีสาน, บาร์",กรุงเทพมหานคร,155 ซอย เจริญมิตร แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,4.50,11:30 - 23:00,0632469545,"รสชาติอีสานแท้ๆ จัดจ้านถึงใจ ใช้วัตถุดิบคุณภาพดีจากอุบล มีอาหารประจำฤดูให้เลือก ปลาส้มย่างอร่อยมาก ใช้ชิ้นส่วนของปลาที่มีเนื้อและท้องปลา กินกับเครื่องเคียงแล้วกลมกล่อม อ่อมหอมปลาร้า กินแล้วลื่นคอ ส่วนแม่เป้งคั่วรสชาติดีมาก หอมมัน สมุนไพรครบเครื่อง ควรมาลอง

ราคา : 5/5
คุณภาพ : 5/5
ความอร่อย : 5/5
ความสะอาด : 5/5
ความเร็ว : 5/5
บริการ : 5/5
สถานที่ : 5/5
ความคุ้มค่า : 5/5"
14,ประสิทธิ์โภชนา,อาหารอีสาน,ขอนแก่น,44-10 ซอย อำมาตย์ 5 ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,4.30,10:00 - 13:00,0936645622,"- ลาบหมู
อร่อยตามมาตรฐานร้านลาบงับ ส่วนตัวคิดว่าอร่อย

- ตับหวาน
เมนูนี้เปิดปสก.สุดๆไม่คาว ไม่เหนียว รสชาติเข้มข้นกว่าลาบนิดนุง ชอบเมนูนี้สุดดด

- เสือร้องไห้
เป็นเนื้อย่างที่ไม่คาวเลยคับ มีมันแทรกนิดๆฟีลเหมือนกินสันคอหมูย่าง อันนี้กินเปล่าก็อร่อยเเล้วไม่ต้องจิ้มน้ำจิ้มเลย

ร้านปิดทุกวันจันทร์นะฮะฟ
ส่วนใครอยากกินสเต็กเสือร้องไห้ เหมือนต้องโทรจองด้วยนะ"
15,ส้มตำเจ๊ไก่อุดร (Somtum Je Kai Udon),อาหารอีสาน,อุดรธานี,ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000,4.00,08:00 - 16:00,0873732128,"มาถึงแหล่งทั้งทีจะพลาดได้ไง ส้มตำเจ๊ไก่ที่ทั้งฮิตทั้งฮอตจนได้รางวัล Wongnai user choice ร้านบ้านๆแต่รสชาติไม่ธรรมดาเลยจ้า เพราะร้านนี้แซ่บจริง และราคามิตรภาพสุดๆ แม่ค้าน่ารักและเป็นกันเอง ที่สำคัญอาหารไวมาก

เมนูที่ห้ามพลาด
• ส้มตำปูปลาร้ากุ้งสด
ปลาร้าแซ่บนัว กุ้งดึ๋งๆสดๆ 10ตัวจุกๆในราคา 110 บาท ที่กทม.หาไม่ได้

• ปีกไก่ทอด และ หนังไก่ทอด
ทอดกรอบมาก หมักเค็มกำลังดี ทานกะข้าวเหนียว ฟินจ้า

• หอยต้มเล็ก
วันนี้เป็นหอยนา ที่สด และน้ำจิ้มแซ่บ เห็นสั่งกันทุกโต้ะ จริงๆมีหอยจุ๊บ หอยขมด้วยนะ

• คอหมูย่าง
มาแบบจุกๆ เยอะจริงไม่จกตา ทั้งเนื้อ ทั้งมัน

• ลำไยลอยแก้ว
ร้านทำเองจ้า ล้างเค็มดีเชียวละ

ร้านนี้บอกเลยชูรส ไม่ทำให้เราหิวน้ำ หรือปวดหัว
อร่อยจริงไม่จกตา ตำกันสดๆ ครกต่อครก
ปลาทับทิมเผา น้อนตัวใหญ่มาก อยากกินแต่บ่ไหว รอบหน้านะจ้ะ

จอดรถข้างทาง
รับเงินสด เงินโอน"
16,หอมปลาเผา (Hormplaphao),อาหารอีสาน,กรุงเทพมหานคร,420-418 ซอย จันทราสุข แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,3.90,12:30 - 21:30,0898932735,"#เมี่ยงปลาทับทิม เมนูซิกเนเจอร์ของร้าน ที่มีดีที่ความหอมนุ่มของเนื้อปลา และผักสดๆ น้ำจิ้มมีทั้งเปรี้ยวและหวานให้เลือก พี่ใส่ผสมกันรสชาติครบรสอร่อยมาก บอกได้เลยว่าปลาร้านนี้หอมเหมือนชื่อร้านจริงๆ

#ปูนิ่มผัดพริกไทยดำ พอเอาจานมาวาง กลิ่นหอมเครื่องพริกไทย พริกหวานผัดไม่เหี่ยวดูน่าทาน ปูนิ่มกรอบอร่อย เคี้ยวกินได้ทั้งตัว สิ่งสำคัญร้านนี้ใส่เห็ดฟางมาให้ด้วย(พี่ชอบ)

#ปีกไก่ทอดสมุนไพร เมนูธรรมดา แต่กินเพลิน หนังกรอบเนื้อในนุ่ม หอมตะไคร้ทอด แนะนำเลยเมนูนี้

#ส้มตำไก่กรอบ รสชาติเปรี้ยวหวาน อร่อยนัว เผ็ดสะท้านทรวง ที่สำคัญหนังไก่กรอบไม่หืน ทอดใหม่ร้อนๆทุกจาน (แต่เผ็ดมาก คนไม่กินเผ็ดอย่าลืมบอกแม่ครัว)

สุดท้าย #แกงอ่อมผักหวานไข่มดแดง ให้ไข่มดมาแบบอลังการมาก ไข่มันนุ่มฟินสุดๆ มีผักหวานใบอ่อนๆ เข้ากันลงตัวมากครับ"
17,ตำแซ่บ by ทราย สาขาพัทยา,"อาหารอีสาน, ซีฟู๊ด",ชลบุรี,นาเกลือ เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150,4.20,12:00 - 21:00,0803613229,"มาเลย อยากกินยำมาร้านนี้ก็อร่อยนะครับ ที่พัทยา ในโครงการลิตเติ้ลวอร์ค มันสะดวกมากเพราะอยู่กลางเมือง และใดๆ มีที่จอดรถเหลือเฟือครับ ถเามาโชคดี จอดหน้าร้านได้เลยด้วย เพราะที่จอดมีทั้งแถบเลย หาไม่ยาก ตรงมาโครงการลิตเติ้ลวอคได้เลย
มาถึง จอดรถแล้วมองหาร้านสีเขียวอ่อน ข้างในโครงการ หาไม่ยากหรอก ลูกค้าแน่นเช่นกันครับ ถ้าลูกค้าเยอะก็รอแป๊บนึงได้ท่่นั่งแน่นอนครับ
ลุยเลย มีอะไรให้ขีด ขีดสั่งหมดเลย ตามนี้
คอหมูทอด
ยำปลาดุกฟู
ยำปลาหมึก
ยำหอยนางรม
ยำหมูยอ
เหลาแซลมอน
เยอะมาก แต่กินหมด อร่อยดีนะ ไม่แพงด้วยครับ"
18,ตำตำ ส้มตำพัทยา เอกมัย,อาหารอีสาน,กรุงเทพมหานคร,77/1 สุขุมวิท 42 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,3.80,09:00 - 17:00,0636654442,"ร้านส้มตำเดินผ่านสองสามที ป้ายหน้าร้านเด่น ร้านดูสะอาดสะอ้าน
ประจวบเหมาะเลยลองแวะทานซักหน่อย

รายการอาหารมีหลากหลายดี ราคามาตรฐานตามประสาร้านส้มตำเป็นร้านๆ
สั่งเมนูเบสิคที่ทุกร้านมีและไก่ย่างดงตาลที่เป็นเมนูแนะนำ
ร้านนี้มีไก่สองแบบ แบบไก่ทอดปละย่าง ซึ่งทั้งสองแบบก็เป็นเมนูแนะนำ

ลาบหมู มาเมนูแรกเลย
รสชาติใช้ได้ กลางๆ อาจจะไม่จัดจ้านถูกใจคนทานรสจัดมากนัก
รวมๆก็กลมกล่อมดี
ไก่ย่างดงตาล 
หน้าตาน่าทาน กลิ่นเหมือนพริกไทยและสมุนไพรอ่อนๆ หอม
เนื้อไก่นุ่ม รสชาติเข้มข้น เหมือนไก่ย่างพริกไทยเลย ยกมือให้เป็น
จานแนะนำร้านนี้เลย
ตำไทยหมูยอ
สีส้มปี๊ดมาเลยเหมือนจะเผ็ด แต่ไม่เผ็ดเท่าไหร่ เผ็ดกลางๆ ขอมะนาวเพิ่มไป
เพิ่มความเปรี้ยวหน่อยลดความหวานได้นิดนึง มะละกอมาเห็นเหมือนเละไปหน่อย
ไม่ค่อยเป็นเส้นแต่ก็โอเค กุ้งแห้งใช้ตัวเล็ก รวมๆรสขาติก็ใช้ได้

มีเมนูตำอย่างอื่นน่าลองรายการ
รอบหน้ามามีโอกาสจะสั่งพวกต้มๆและตำอื่นมาลอง ไม่พลากไก่ย่างดงตาลแน่นอน
เจ้าของร้านยิ้มแย้ม บริการดีคะ"
19,เล็กบ้านรอ,อาหารอีสาน,อ่างทอง,ตำบล ตลาดหลวง อำเภอเมืองอ่างทอง อ่างทอง 14000,4.10,09:30 - 19:00,035612070,"ที่มาของชื่อ เล็กบ้านรอ มีที่มาจากชื่อของเจ้าของร้านคือ ป้าเล็ก และคำว่า บ้านรอ เป็นชื่อของหมู่บ้านซึ่งเป็นที่ทั้งของร้าน

ตอนแรกนึกว่าจะเป็นร้านอาหารบ้านๆ มีขนาดไม่ใหญ่มาก แต่เอาเข้าจริงๆแล้ว ร้าน เล็กบ้านรอ อ่างทอง เป็นร้านอาหารขนาดใหญ่ มีเมนูให้เลือกชิม เลือกทานเยอะมากๆเลยครับ

ปลาช่อนเผาโอ่ง
เมนูเป็นเมนูที่มีชื่อเสียงมากของ ร้าน เล็กบ้านรอ อ่างทอง ครับ และเนื่องจากทางร้านนำปลาไปเผาในโอ่งก็เลยเป็นที่มาของชื่อเมนูนี้

เมนูนี้เค้าว่ากันว่ามีทีเด็ดที่น้ำจิ้มครับ เจ้าของบล็อกว่า น้ำจิ้มแจ่ว แซ่บกว่าน้ำจิ้มซีฟู๊ดนะครับ มันเข้ากันกับปลาช่อนอบโอ่งมากกว่าครับ

แกงอ่อนปลาดุกใบยอ
เมนูนี้ก็เป็นเมนูขึ้นชื่อ จนได้เป็นเมนูแนะนำของ ร้าน เล็กบ้านรอ อ่างทอง เช่นกันครับ

จริงๆเมนู แกงอ่อมปลาดุกใส่ใบยอ เป็นเมนูโบราณที่หาทานยากมากแล้วครับ เนื่องจากวัตถุดิบหลัก ซึ่งก็คือ ใบยอ ค่อนข้างหายากโดยเฉพาะในเมืองใหญ่ๆ แม่ครัว พ่อครัว ที่จะรู้จักวิธีทำแกงอ่อมก็มีไม่มากนัก และที่สำคัญ ใบยอ ซึ่งมีรสขม ก็ไม่เป็นที่ถูกปากของผู้บริโภคนัก จึงทำให้เมนูโบราณค่อยๆเลือนหายไปจากหน้าเมนูร้านอาหารในปัจจุบัน

เจ้าของบล็อกยังโตทันที่จะรู้จักเมนูโบราณนี้ ผู้ใหญ่ในบ้านก็ยังทำเมนูแกงอ่อมใบยอเป็น และที่สำคัญคือเจ้าคุณพ่อที่หนีขึ้นไปเดินเล่นบนสวรรค์แล้วชอบทานเมนูนี้มากครับ

รสชาติของ แกงอ่อมปลาดุกใส่ใบยอ จะมีรสนัวๆ ครับ มีรสเผ็ดของพริกแกง รสหวานๆ มันๆ ของกะทิ รสขมนิดๆ จากใบยอ และมีความเค็มหน่อยๆจากน้ำปลาครับ

ยำกุ้งฟู
เมนูนี้ก็เป็นเมนูแนะนำของ ร้าน เล็กบ้านรอ อ่างทอง เช่นกันครับ
ทาง ร้าน เล็กบ้านรอ อ่างทอง ใช้กุ้งแม่น้ำมาทอดจนกรอบๆ ทานกับน้ำยำและเครื่องยำที่คล้ายๆยำปลาดุกฟูนะครับ แต่มีความเผ็ดน้อยกว่ามาก

ไส้กรอกอีสาน
เมนูนี้เป็นเมนูบังคับของคนใกล้ๆตัวครับ ไปกินข้าวนอกบ้าน 10 ครั้ง ต้องมีเมนูนี้โผล่มา 8 ครั้ง


บร็อกโคลี่ผัดกุ้ง
เมนูนี้เป็นเมนูสิ้นคิดของเจ้าของบล็อกเองครับ คริๆๆๆ"
20,ส้มตำอุดร (SOMTAM UDON RESTAURANT),อาหารอีสาน,เชียงใหม่,"3, 2 ซอย ทานตะวัน ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300",4.00,09:00 - 20:30,053222865,"มาเที่ยวเชียงใหม่แต่อยากทานอาหารอีสาน อยากทานอาหารแซ่บๆ เลยมาลองร้านนี้ ปกติไม่ทานปลาร้า แต่เพื่อนๆทาน
ร้านนี้ทุกอย่างที่สั่งมาอร่อยเลย
ที่นั่งเยอะมากๆ คนก็เยอะ เป็นร้านที่ใหญ่มาก

ถ้าได้ไปเขียงใหม่อีก ก็อยากกลับมากินซ้ำอีก

ส้มตำ ปรุงรสแซ่บซี๊ดกันแบบถึงอกถึงใจ
ตำส้มโอ คือดีมาก คือชอบ อยากทานอีก
คอหมูย่างก็ดี

นอกจากนี้ทางร้านยังมีเมนูเด็ด ๆ อีกมาก
ร้านนี้มี 7 สาขา สามารถเลือกสรรสาขาที่ใกล้ๆได้เลย
ได้แก่ สาขาสารภี สาขาแม่เหี้ยะ สาขาราชพฤกษ์ สาขาคันคลองชลประทาน สาขา 89 พลาซ่า สาขาโครงการกาดฝรั่ง วิลเลจ และสาขาดั้งเดิม หรือร้านใหญ่อยู่ใน ซอยทานตะวัน แถว ๆ สันติธรรม"
21,ส้มตำหัวพาน (Somtum Huapan),อาหารอีสาน,สงขลา,75-85 คลองเรียน 2 ซอย 6 ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110,4.00,10:30 - 19:00,074356738,"ร้านนี้นับได้ว่าเป็นร้านส้มตำในดวงใจผมร้านนึงในช่วงก่อนที่จะเกิดโควิด
และทำให้ห่างหายจากการกินส้มตำร้านนี้ไปนานเมื่อพ้นจากโควิดแล้ว จึงได้รีบมารับประทานอีกครั้ง ปรากฏว่าในร้านตกแต่งดีขึ้น แต่รสชาติอาหารหลายอย่างเปลี่ยนไปเช่นคอหมูย่างก็รู้สึกว่าแห้งและแข็ง ไก่ย่างไม่อร่อยเหมือนเดิม ส้มตำใส่กุ้งแห้งแบบที่แข็งมาก แข็งขนาดถ้ากัดลงไปแรงๆ มันอาจจะทำให้ฟันแตกได้ครับ
ส่วนเมนูอื่นๆ ก็โอเคครับ แต่ยังไม่ถึงกับประทับใจ เหมือนที่เคยทานในอดีต"
22,ครัวเสวยสมุย (KruaSavoeySamui),อาหารอีสาน,สุราษฎร์ธานี,ถนนชลวิถี ตำบล อ่างทอง อำเภอเกาะสมุย สุราษฎร์ธานี 84140,4.00,09:00 - 10:00,0813674585,"ร้านอาหารอยู่ใกล้ท่าเรือสมุย seatran เราได้มีโอกาศมาแวะชิมก่อนลงเรือกลับ อาหารค่อนข้างหลากหลาย แต่กิน 2 คนสั่งมาได้ไม่กี่อย่าง
ทอดมันไข่เค็มไชยา อันนี้ดีมาก ทอดมันปลากับไข่แดงเค็มไชยา เข้ากันสุดๆ
หมึกไข่นึ่งมะนาว หมึกไข่สดมาก ตัวไม่ใหญ่แต่ให้เยอะมาก รสชาติกำลังดี ไม่จัดเกินไป
แกงส้มปลากระพง รสชาติเข้มข้น ปลาสด ให้ปริมาณมาเยอะเช่นกัน
หมึกทอดเสวย นุ่มๆ กรอบๆ คล้ายๆหมึกทอดกระเทียม
ทั้งหมดนี้แค่หกร้อยกว่าบาท!! ตกอย่างล่ะร้อยกว่าบาทเท่านั้น รักเลยร้านนี้ อยากให้เพื่อนๆ มาลองทานกันนะคะ"
23,ส้มตำจัดจ้าน ราชพฤกษ์,อาหารอีสาน,นนทบุรี,4 ถ. ราชพฤกษ์ ตำบล มหาสวัสดิ์ อำเภอบางกรวย นนทบุรี 11130,3.80,10:30 - 21:00,0644958391,"อาหารร้านนี้ติดหวานหมดเลย ใครชอบหวานหน่อยก็คงจะถูกปาก ราคาแรงนิดหน่อย พอไม่ถูกปากด้วย ก็เลยคิดว่าไม่คุ้มค่าสมราคา

จานส้มตำ ทั้งส้มตำไทยและส้มตำไทยไข่เค็ม เส้นมะละกอดูฉ่ำน้ำมาก เหมือนสับเส้นเสร็จแล่วไปแช่ตู้เย็นหรือน้ำจนอมน้ำอ่ะ ก็เลยกรอบน้อย รสชาดออกหวาน ส้มตำไข่เค็มคือเอาไข่เค็มมาวางไว้ด้วย ไม่ได้ขยี้ลงไปในน้ำแต่อย่างใด

ตำซั่วปูปลาร้า มีกลิ่นแปลกๆ ไม่นัวอ่ะ

ลาบหมู รสชาดดี แต่ออกหวานนิดๆ

ตับหวาน ลวกมาสุกพอดีเลย แต่ก็หวานสมชื่อตับหวานเลย

ไก่ทอด ก็คือเอาไก่ไปชุปแป้งทอดเลย ออกมาคือแป้งอมน้ำมันอีก รสชาดก็จืดๆ ไม่นัว

คอหมูย่าง เนื้อดีเลย นุ่มอร่อย แต่ถ้าไม่จิ้มเหมือนมีกลิ่นแปลกๆ จิ้มน้ำจิ้มแจ่วให้กลบๆไป น้ำจิ้มอร่อยดี

ที่จอดรถสะดวกสบาย ร้านมีหลายโต๊ะอยู่"
24,ก๋วยเตี๋ยวต้มยำกากหมูสูตรโบราณ อาหารตามสั่งและอาหารอีสาน,"อาหารอีสาน, ก๋วยเตี๋ยว",กรุงเทพมหานคร,ถนน รามคำแหง เขตมีนบุรี กรุงเทพมหานคร 10510,4.20,10:30 - 21:00,0909606414,ร้านก๋วยเตี๋ยวโครตกากหมู ก็ยังให้กากหมูเยอะแต่ก็ไม่เยอะเหมือนก่อน มีแตกไลน์เป็น เกี๊ยว หมูแดง หมูกรอบ ข้าวกระเพรา รอไม่นานเร็วใช้ระบบสั่งอาหารของวงในแสกนสั่งได้ที่โต๊ะ ก็ยังเป็นร้านที่อร่อยไม่เปลี่ยน กินเสร็จก็เข้าไปซื้อของในโลตัสได้อีกสะดวกมาก
25,ลาบบุรีรัมย์,อาหารอีสาน,ชลบุรี,55 ถ เทศบาล 1 อำเภอศรีราชา ชลบุรี 20110,3.50,10:00 - 22:00,0865412881,"ส้มตำนัวๆแซ่บๆรสชาติดั้งเดิม
ร้านส้มตำคู่บุญของอำเภอศรีราชา ร้านดั้งเดิม รสชาติไม่เคยเปลี่ยน วันนี้แม่ค้าแนะนำตำกระท้อน คือมันดีงามมาก ตำกระท้อนปูปลาร้า รสปลาร้านัวๆมาตัดรสฝาดของกระท้อนได้เป็นอย่างดีทีเดียว แถมรสจัดจ้านมาก แซ่บเลยทีเดียว
•ตำโคราช 10/10 นางเอกของร้าน
•ตำกระท้อน 10/10 พระเอกก็ตามมา
•ต้มแซ่บซี่โครงหมู 10/10
พิกัด ถนนศรีราชานคร ฝั่งด้านหลังธนาคารออมสิน"
26,ครัวกมลอาหาร-อีสานใต้,"อาหารอีสาน, ซีฟู๊ด",กรุงเทพมหานคร,112-24 ถนน หัวหมาก แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,4.90,10:00 - 23:00,0953426804,อาหารอร่อยมากๆ ครับ เมนูเด็ดที่ชอบ ปลาโบราณ ต้มแซ่บกระดูกอ่อน ส้มตำไทยใส่ปู ปลากระพงทอดน้ำปลา และร้านบรรยกาศดีมากๆ นั่งชิลๆ กับเพื่อนได้ยาวๆ น้องเด็ดเสริฟบริการดี เดินมาถามตลอดว่าอร่อยไหม ทานได้ไหมค่ะ มีตรงไหนให้ปรับบอกได้นะคะ ชอบมากๆ ครับ เอาใจใส่ลุกค้าตลอดเลย
27,นายเจ๊ก ข้าวไก่อบ จิ้มแจ่ว🌶️,อาหารอีสาน,ปทุมธานี,ตำบล บึงคำพร้อย อำเภอลำลูกกา ปทุมธานี 12150,4.00,07:00 - 23:00,0855065309,"สั่งผ่าน lineman ใช้โปรโมชั่น 120 ลด 40 บาท
รายการอาหารน่าทานทั้งนั้น ใช้เวลารออาหารนานนิดนึง ซึ่งไลน์แมนแจ้งมาว่า ช่วงที่สั่งคนเยอะมาก แต่ไม่เป็นไร เราออเดอร์มาทานเป็นอาหารกลางวันวันพรุ่งนี้

อาหารมาส่งกล่องใหญ่ สะอาด แอบเปิดชิมข้าวเหนียวนุ่ม แต่เม็ดข้าวไม่เกาะกันเท่าไร ไก่อบร้อนๆ รสชาติดี ให้ข้าวมาเยอะมากๆค่ะ"
28,ลมโชยปลาเผา (LOM CHOI PLA PHAO RESTAURANT),อาหารอีสาน,บึงกาฬ,ตำบล วิศิษฐ์ อำเภอเมืองบึงกาฬ บึงกาฬ 38000,4.10,08:00 - 20:00,0850063424,"ร้านอาหารอีสานร้านขึ้นชื่อของบึงกาฬ ครับ ร้านนี้ขึ้นชื่อลือชาเรื่อง ปลาเผา ส้มตำครับผม ปลาเผาเผายังไงให้คงความชุ่มฉ่ำของเนื้อปลา ไม่แข็งกระด้างเลยครับ ส้มตำ ยำก็อร่อย
ที่เด็ดอีกอย่างคือ ลาบเป็ด เค้าใส่หนังเป็ดทอด ใบมะกรูดทอดกรอบลงไปด้วย หอมอร่อย
เมี่ยงปลาแดก ใครไม่เคยลองต้องลอง เป็นการห่อเครื่องเทศสมุนไพรไทยต่างๆ แล้วตักปลาร้าปรุงรสต้มสุก ราดลงไป แล้วห่อกินเป็นคำๆ แบบเมี่ยง อร่อยมากนะครับผม
นอกนั้นดีงาม ร้านดี บริการดีครับ ช่วงเที่ยงลูกค้าเยอะ รถจอดเต็มไปหมด มาที่นี่ครบรายการอาหาร คนเลยมากันครับ ใช้ได้ๆ"
29,ราชาเมี่ยงปลาเผา เจ๊กุ้ง (Racha Mieng Pla Pao Je Kung),อาหารอีสาน,กรุงเทพมหานคร,ระหว่างซอยหัวหมาก 16 และ 14 (เส้นหลังราม มาทาง ถ. กรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,3.90,15:00 - 23:59,0970934555,ปลาสดมาก มีหลายราคาให้เลือกตัวใหญ่กินหลายคนถึงจะหมด มาเป็นชุดเมี่ยงปลา พร้อมขนมจีนผักน้ำจิ้มเค้าอร่อยมาก ขอเพิ่มได้ อยู่หลังรามหัวหมากเลยประตูหลังรัชมังคลาที่จอดรถรถก็คือข้างในสนามเลย ร้านเค้าก็คือฟุตบาทแต่เค้าทำที่นั่งให้ดูดี มีทั้งนั่งโต๊ะนั่งพื้นเปิดบ่ายสามถึงห้าทุ่ม หยุดวันพุธนะคะ พนักงานเยอะมาก ต้อนรับลูกค้าดูแลลูกค้าดีบริการไว มีสะสมแต้มด้วย 10 ฟรีหนึ่ง เราแลกหลายครั้งแล้ว มีอาหารอย่างอื่นด้วยพวกส้มตำไว้อ่อนทอด ต้มแซ่บ หอยแครงลวก พวกนี้
30,ร้านอาหารชาวประมง (CHAO PRAMONG RESTAURANT),อาหารอีสาน,ชัยภูมิ,ตำบล ละหาน อำเภอจัตุรัส ชัยภูมิ 36130,3.60,09:00 - 21:00,0910159828,"ให้บริการทั้งอาหารไทย และอาหารพื้นบ้าน เน้นวัตถุดิบจากในพื้นที่ รสชาติอาหารอร่อย ถ้าใครที่ชอบทานอาหารรสจัด ต้องเป็นที่ถูกใจแน่นอนค่ะ เขาบอกว่ามาถึงตำบลละหานต้องทานปลา เพราะที่นี่มีบึงขนาดใหญ่เป็นอันดับที่ 4 ของประเทศไทย ปลาที่ทางร้านรับซื้อเข้ามาแต่ละวัน จะเป็นปลาที่หาได้ในวันนั้นเลย จึงมีความสด เวลาปรุงอาหารก็จะอร่อย

สำหรับมื้อนี้เราสั่งมา 3 อย่าง คือ ปลาช่อนลุยสวน แกงป่าลูกชิ้นปลากราย กุ้งแพทอด
** ปลาช่อนลุยสวน รสชาติดี กลมกล่อม จัดจ้าน เนื้อปลาสดเนื้อแน่น
** แกงป่าลูกชิ้นปลากราย เมนูนี้ก็รสชาติจัดจ้าน ทานกับข้าวสวยร้อนๆ เข้ากันเป็นอย่างดี
** กุ้งแพทอด เป็นได้ทั้งเมนูทานเล่น และทานเป็นกับข้าวก็ได้

บอกได้คำเดียวว่าอร่อยถูกปาก รสชาติถูกใจ ไม่เสียดายที่ตัดสินใจเลือกฝากท้องสำหรับมื้อนี้ค่ะ ไว้วันหน้าหากมีโอกาสผ่านมาทางนี้ ต้องแวะมาอีกอย่างแน่นอน เพราะยังมีอีกหลายเมนู ที่อยากทานและอยากลองชิมค่ะ"
31,ส้มตำคลาสสิค The Beatles Station,อาหารอีสาน,เชียงใหม่,1096 ตำบล แม่แรม อำเภอแม่ริม เชียงใหม่ 50180,4.20,09:00 - 20:00,0858700722,"ส้มตำร้านที่ดูธรรมดาๆแต่อร่อยอย่างเหลือเชื่อ!!!

สำหรับคนที่ไม่เคยมา ต้องคิดว่าร้านนี้ปิดไปแล้วหรือเปล่า หรือร้านเปิดมั้ยนะ??

แต่ขับเข้าไปด้านในเลย…มีที่จอดรถ
ร้านอาจจะดูเงียบเงียบแต่ลองเปิดใจเถอะ!!!

เราสั่งส้มตำปูปลาร้าจะบอกว่าปูปลาร้าไม่เหม็นเลยใส่มะกอกด้วยคืออร่อยมากกกกกกก นัวมากกกก
สั่งเผ็ดกลางคุณอาเจี๊ยบบอกใส่พริกห้าเม็ด

ปีกไก่ทอดงาดำ เมนูนี้คือที่สุดอร่อยมาก
ทั้งกรอบและหมักเข้มข้นเข้าเนื้อ จานหนึ่งมี4ชิ้น

อยากซดน้ำร้อนๆเลยสั่งต้มโคล้งปลาช่อนแซ่บถึงใจ
ดีงามทุกเมนูจริงๆ

ช่วงที่เราไปตอนนั้นลูกค้าโต๊ะหนึ่งเพิ่งออกไป
อาเจี๊ยบบอกว่าคุยถูกคอเลยหยิบกีตาร์มาร้องเพลงให้ฟังร้องเพลงเพราะมาก เป็นการทานส้มตำที่โรแมนติกที่สุด555

ใครผ่านมา มาลองนะแนะนำ
รับรองไม่ผิดหวัง"
